Status Checking,Credit History,Purpose,Savings Account,Employement since,Installmentrate %,Other debtors,PresentResidence,Property,Age in years,Otherinstallment Plans,Housing,Number existing Credits,Job,Number people liable,Telephone,Foreign Worker,Target,Credit Amount per Month,Sex,Status
no checking account,critical account / other credits existing (not at this bank),car (used),unknown / no savings account,4 less than and equal and less than 7 years,3,None,4,if not real estate : building society savings agreement/life insurance,43,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,168.41666666666666,male , single
no checking account,critical account / other credits existing (not at this bank),radio/television,less than 100DM,1 less than or equal and less than 4 years,4,None,4,unknown/no property,35,None,for free,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,98.06666666666666,male , single
less than 0 DM,all credits at this band paid back duly,car (new),less than 100DM,4 less than and equal and less than 7 years,4,None,4,unknown/no property,32,None,for free,2,unskilled-resident,2,None,yes,1,80.11111111111111,male , single
no checking account,delay in paying off in the past,car (new),less than 100DM,bigger than or equal 7 years,2,None,2,"if not others options : car or other, not in savings accounts/bonds",45,None,own,2,skilled employee /official,2,"yes, registered under the customers name",yes,0,302.0833333333333,male , single
no checking account,existing credits paind back duly till now,car (new),100 less than or equal and < 500DM,less than 1 year,4,None,3,real estate,33,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,61.416666666666664,male , married/windowed
no checking account,existing credits paind back duly till now,retraining,unknown / no savings account,4 less than and equal and less than 7 years,4,None,3,if not real estate : building society savings agreement/life insurance,40,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,89.4,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,4,None,2,unknown/no property,28,None,for free,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,222.86666666666667,male , single
less than 0 DM,existing credits paind back duly till now,car (new),less than 100DM,1 less than or equal and less than 4 years,3,None,2,if not real estate : building society savings agreement/life insurance,29,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,1,263.93333333333334,female , divorced/separated/married
no checking account,existing credits paind back duly till now,car (new),100 less than or equal and < 500DM,1 less than or equal and less than 4 years,1,guarantor,2,real estate,26,None,rent,1,skilled employee /official,2,None,no,0,397.44444444444446,male , single
no checking account,critical account / other credits existing (not at this bank),car (used),bigger than or equal 1000 DM,1 less than or equal and less than 4 years,4,None,2,real estate,27,None,own,2,skilled employee /official,1,None,yes,0,241.83333333333334,male , single
no checking account,delay in paying off in the past,business,less than 100DM,1 less than or equal and less than 4 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",28,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,1,120.5,male , married/windowed
less than 0 DM,existing credits paind back duly till now,radio/television,less than 100DM,less than 1 year,4,None,4,real estate,35,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,1,101.625,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),furniture/equipment,bigger than or equal 1000 DM,less than 1 year,4,None,2,real estate,32,stores,own,2,unskilled-resident,2,"yes, registered under the customers name",yes,0,167.62962962962962,male , single
no checking account,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,2,None,2,real estate,25,bank,rent,1,unskilled-resident,1,None,yes,1,221.0,male , single
no checking account,existing credits paind back duly till now,furniture/equipment,500 less than or equal and 1000 DM,1 less than or equal and less than 4 years,2,None,4,"if not others options : car or other, not in savings accounts/bonds",20,None,rent,1,skilled employee /official,1,None,yes,0,148.06666666666666,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,radio/television,less than 100DM,less than 1 year,4,None,1,"if not others options : car or other, not in savings accounts/bonds",27,stores,own,1,skilled employee /official,1,None,yes,0,132.72222222222223,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,bigger than or equal 7 years,2,None,4,if not real estate : building society savings agreement/life insurance,42,stores,own,1,skilled employee /official,1,None,yes,0,277.5833333333333,male , single
no checking account,existing credits paind back duly till now,business,unknown / no savings account,bigger than or equal 7 years,3,None,2,if not real estate : building society savings agreement/life insurance,37,None,own,2,skilled employee /official,1,None,yes,0,205.80555555555554,male , single
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,bigger than or equal 7 years,4,None,4,if not real estate : building society savings agreement/life insurance,24,None,rent,1,skilled employee /official,1,None,yes,0,54.333333333333336,female , divorced/separated/married
no checking account,delay in paying off in the past,furniture/equipment,500 less than or equal and 1000 DM,4 less than and equal and less than 7 years,2,None,4,"if not others options : car or other, not in savings accounts/bonds",40,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,213.27777777777777,female , divorced/separated/married
bigger than 200DM / salary assignments for at least 1 year,critical account / other credits existing (not at this bank),car (new),less than 100DM,bigger than or equal 7 years,1,None,4,real estate,46,None,own,2,skilled employee /official,2,None,no,0,223.83333333333334,male , single
less than 0 DM,critical account / other credits existing (not at this bank),business,100 less than or equal and < 500DM,4 less than and equal and less than 7 years,4,None,1,real estate,26,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,57.583333333333336,male , single
no checking account,existing credits paind back duly till now,domestic appliances,unknown / no savings account,less than 1 year,4,None,1,real estate,24,None,own,1,skilled employee /official,1,None,yes,0,58.266666666666666,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,2,co-applicant,2,if not real estate : building society savings agreement/life insurance,29,None,own,1,unskilled-resident,2,None,yes,0,299.1666666666667,male , single
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),car (new),bigger than or equal 1000 DM,1 less than or equal and less than 4 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",40,None,own,2,skilled employee /official,1,None,yes,0,120.18181818181819,female , divorced/separated/married
less than 0 DM,all credits at this band paid back duly,radio/television,less than 100DM,less than 1 year,3,co-applicant,4,unknown/no property,36,bank,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,107.77777777777777,male , single
